"filename", "language", "C++", "JSON", "YAML", "Dart", "JavaScript", "Markdown", "Swift", "HTML", "XML", "Properties", "Groovy", "Kotlin", "comment", "blank", "total"
"d:\Fluter Projects\uber_app\uber_rider_app\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\Fluter Projects\uber_app\uber_rider_app\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\Fluter Projects\uber_app\uber_rider_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 4, 31
"d:\Fluter Projects\uber_app\uber_rider_app\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Fluter Projects\uber_app\uber_rider_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\Fluter Projects\uber_app\uber_rider_app\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"d:\Fluter Projects\uber_app\uber_rider_app\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Fluter Projects\uber_app\uber_rider_app\pubspec.yaml", "YAML", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 7, 116
"d:\Fluter Projects\uber_app\uber_rider_app\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Fluter Projects\uber_app\uber_rider_app\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 16, 6, 59
"d:\Fluter Projects\uber_app\uber_rider_app\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Fluter Projects\uber_app\uber_rider_app\windows\flutter\generated_plugin_registrant.cc", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"d:\Fluter Projects\uber_app\uber_rider_app\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Fluter Projects\uber_app\uber_rider_app\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"d:\Fluter Projects\uber_app\uber_rider_app\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Fluter Projects\uber_app\uber_rider_app\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Fluter Projects\uber_app\uber_rider_app\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Fluter Projects\uber_app\uber_rider_app\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"d:\Fluter Projects\uber_app\uber_rider_app\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\Fluter Projects\uber_app\uber_rider_app\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"d:\Fluter Projects\uber_app\uber_rider_app\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 516, 5895, 69, 7581, 700, 13, 56, 37, 485, 8, 92, 4, 668, 976, 17100
